drain current vs drain bias
13 2 2
drain bias
drain current
0 1.63176e-020
0.15 8.8026e-005
0.3 0.000165753
0.6 0.000272562
0.9 0.000324155
1.2 0.000349954
1.5 0.000367693
1.8 0.000382263
2.1 0.000395059
2.4 0.000406673
2.7 0.000417434
3 0.000427543
3.3 0.000437128
