drain current vs drain bias
13 2 2
drain bias
drain current
0 -1.63176e-020
0.15 2.90787e-005
0.3 5.07549e-005
0.6 7.48247e-005
0.9 8.99738e-005
1.2 0.000102608
1.5 0.000113913
1.8 0.000124338
2.1 0.000134147
2.4 0.000143485
2.7 0.000152435
3 0.000161074
3.3 0.000169453
